player_name,Position,Win Percentage,Loss Percentage,Draw Percentage
A. Adalsteinsson,CB,14.285714285714285,0.0,7.142857142857142
A. Adalsteinsson,"CB, LCB",7.142857142857142,0.0,0.0
A. Adalsteinsson,"CB, RCB",14.285714285714285,0.0,0.0
A. Adalsteinsson,LCB,35.714285714285715,0.0,7.142857142857142
A. Adalsteinsson,"LCB, RCB",7.142857142857142,0.0,0.0
A. Adalsteinsson,RCB,7.142857142857142,0.0,0.0
A. Barger,0,5.263157894736842,0.0,0.0
A. Barger,LB,60.526315789473685,2.631578947368421,23.684210526315788
A. Barger,"LB, LB5",2.631578947368421,0.0,0.0
A. Barger,"LB, LWB",2.631578947368421,0.0,0.0
A. Barger,"LB, RB",2.631578947368421,0.0,0.0
A. Bilow,0,12.76595744680851,0.0,2.127659574468085
A. Bilow,"AMF, CF, LW",2.127659574468085,0.0,0.0
A. Bilow,CF,6.382978723404255,0.0,2.127659574468085
A. Bilow,LAMF,2.127659574468085,0.0,0.0
A. Bilow,"LAMF, RAMF",2.127659574468085,0.0,0.0
A. Bilow,"LCMF, RW",2.127659574468085,0.0,0.0
A. Bilow,LW,8.51063829787234,0.0,2.127659574468085
A. Bilow,"LW, CF",2.127659574468085,0.0,4.25531914893617
A. Bilow,"LW, RCMF3",2.127659574468085,0.0,0.0
A. Bilow,"LW, RW",4.25531914893617,0.0,4.25531914893617
A. Bilow,RAMF,4.25531914893617,0.0,2.127659574468085
A. Bilow,"RAMF, RW",2.127659574468085,0.0,2.127659574468085
A. Bilow,"RCMF, RW",2.127659574468085,0.0,0.0
A. Bilow,RW,21.27659574468085,0.0,4.25531914893617
A. Bilow,"RW, CF",2.127659574468085,0.0,0.0
A. Braman,GK,100.0,0.0,0.0
A. Camara,AMF,2.564102564102564,0.0,0.0
A. Camara,"AMF, CF",6.41025641025641,0.0,0.0
A. Camara,"AMF, CF, RAMF",1.282051282051282,0.0,0.0
A. Camara,CF,65.38461538461537,5.128205128205128,10.256410256410255
A. Camara,"CF, LW",1.282051282051282,0.0,0.0
A. Camara,"CF, LW, RW",1.282051282051282,0.0,0.0
A. Camara,"CF, LWB",0.0,1.282051282051282,0.0
A. Camara,"CF, RW",2.564102564102564,0.0,0.0
A. Camara,"CF, RWF",1.282051282051282,0.0,0.0
A. Camara,"RWF, CF",0.0,0.0,1.282051282051282
A. Cooke,GK,78.43137254901961,1.9607843137254901,19.6078431372549
A. Flynn,0,33.33333333333333,0.0,7.4074074074074066
A. Flynn,LB,7.4074074074074066,0.0,3.7037037037037033
A. Flynn,LB5,3.7037037037037033,0.0,0.0
A. Flynn,LCB,18.51851851851852,0.0,0.0
A. Flynn,"LCB, LCB3",3.7037037037037033,0.0,0.0
A. Flynn,"LCB, RW",3.7037037037037033,0.0,0.0
A. Flynn,LCB3,7.4074074074074066,0.0,0.0
A. Flynn,LCMF3,3.7037037037037033,0.0,0.0
A. Flynn,LWB,3.7037037037037033,0.0,0.0
A. Flynn,RCB,0.0,0.0,3.7037037037037033
A. Hall,AMF,18.181818181818183,0.0,0.0
A. Hall,"AMF, CF",9.090909090909092,0.0,0.0
A. Hall,"AMF, RAMF",0.0,0.0,9.090909090909092
A. Hall,CF,18.181818181818183,0.0,0.0
A. Hall,LW,9.090909090909092,0.0,9.090909090909092
A. Hall,"LW, CF",0.0,0.0,9.090909090909092
A. Hall,RW,0.0,0.0,9.090909090909092
A. Hall,"RW, CF",9.090909090909092,0.0,0.0
A. Kato,0,0.0,0.0,6.666666666666667
